id	title	price_pc	benefit_price	normal_price	link	mobile_link	image_link	add_image_link	category_name1	category_name2	category_name3	category_name4	naver_category	brand	brand_certification	maker	origin	search_tag	shipping	attribute	gender
MAT260126033_PGE_IRE	[대한항공/아시아나][시그니처/블랙]연길/백두산 명품 패키지 4일	959000			https://ire.modetour.co.kr/product-common/35686?type=group	https://m-ire.modetour.co.kr/product-common/35686?type=group	https://img.modetour.com/eagle/photoimg/27596/rfile/635781017504095751.jpg		여가/생활편의	해외여행	해외패키지/기타	서울출발 연길/백두산 3박4일	50007257	모두투어	Y	이레투어클럽	대한민국	백두산|북파|연길|국적기|서파|시그니처	0	백두산^북파^연길^국적기^서파^시그니처	남녀공용
MAT230821263_PGE_IRE	[부산출발][시그니처VS시그니처블랙] 서안/화산 5/6일	969900			https://ire.modetour.co.kr/product-common/1003?type=group	https://m-ire.modetour.co.kr/product-common/1003?type=group	https://img.modetour.com/eagle/photoimg/30159/bfile/635962490181103700.png		여가/생활편의	해외여행	해외패키지/기타	부산출발 서안 3박5일	50007257	모두투어	Y	이레투어클럽	대한민국	부산출발|서안|화산|시그니처블랙	0	부산출발^서안^화산^시그니처블랙	남녀공용
MAT231031037_PGE_IRE	[부산출발] 홍콩/마카오 + 심천 5일	979900			https://ire.modetour.co.kr/product-common/1675?type=group	https://m-ire.modetour.co.kr/product-common/1675?type=group	https://img.modetour.com/eagle/photoimg/10867/rfile/639003611773214833.jpg		여가/생활편의	해외여행	해외패키지/기타	부산출발 심천/홍콩/마카오 3박5일	50007257	모두투어	Y	이레투어클럽	대한민국	부산출발|마카오홍콩심천|3개국여행|꽉찬일정	0	부산출발^마카오홍콩심천^3개국여행^꽉찬일정	남녀공용
MAT250430065_PGE_IRE	[부산출발/남파오픈♥] 연길/백두산 4/5일(5성급/두만강/용정)	979900			https://ire.modetour.co.kr/product-common/23782?type=group	https://m-ire.modetour.co.kr/product-common/23782?type=group	https://img.modetour.com/eagle/photoimg/27596/rfile/635781017521255781.jpg		여가/생활편의	해외여행	해외패키지/기타	부산출발 연길/백두산 3박4일	50007257	모두투어	Y	이레투어클럽	대한민국	부산출발|연길|백두산|발마사지|5성급호텔|남파|북파	0	부산출발^연길^백두산^발마사지^5성급호텔^남파^북파	남녀공용
MAT251217041_PGE_IRE	[천년고도여행] 북경 만리장성+서안 병마용 5일 (특가or노옵션)	979900			https://ire.modetour.co.kr/product-common/34156?type=group	https://m-ire.modetour.co.kr/product-common/34156?type=group	https://img.modetour.com/eagle/photoimg/1348/rfile/638648600476966328.jpg		여가/생활편의	해외여행	해외패키지/기타	부산출발 북경/서안 4박5일	50007257	모두투어	Y	이레투어클럽	대한민국	북경|베이징|만리장성|서안|시안|화청지|병마용	0	북경^베이징^만리장성^서안^시안^화청지^병마용	남녀공용
MAT260116050_PGE_IRE	[시그니처블랙][청주출발] 연길 백두산[노옵션/노쇼핑/노팁]<서파+북파> 4/5일	980200			https://ire.modetour.co.kr/product-common/35437?type=group	https://m-ire.modetour.co.kr/product-common/35437?type=group	https://img.modetour.com/eagle/photoimg/27596/rfile/637093427523681307.jpg		여가/생활편의	해외여행	해외패키지/기타	청주출발 연길/백두산 3박4일	50007257	모두투어	Y	이레투어클럽	대한민국	백두산|북파|서파|특식|청주출발|연길|시그니처|노옵션|노쇼핑|노팁	0	백두산^북파^서파^특식^청주출발^연길^시그니처^노옵션^노쇼핑^노팁	남녀공용
MAT241218067_PGE_IRE	홍콩+마카오+주해 (꽉찬일정/온천욕)	989000			https://ire.modetour.co.kr/product-common/17132?type=group	https://m-ire.modetour.co.kr/product-common/17132?type=group	https://img.modetour.com/eagle/photoimg/82155/rfile/638742813589266645.jpg		여가/생활편의	해외여행	해외패키지/기타	서울출발 홍콩/주해 3박4일	50007257	모두투어	Y	이레투어클럽	대한민국	3개도시핵심여행|홍콩마카오주하이|어온천|무제한뷔폐_미식여행	0	3개도시핵심여행^홍콩마카오주하이^어온천^무제한뷔폐_미식여행	남녀공용
MAT250829024_PGE_IRE	[유류세변동없음][홈쇼핑 동시방영] 장가계/원가계 노옵션 패키지 4/5일 <힐튼 가든인/유리다리+대협곡>	999000			https://ire.modetour.co.kr/product-common/29547?type=group	https://m-ire.modetour.co.kr/product-common/29547?type=group	https://img.modetour.com/eagle/photoimg/26216/rfile/638902607505578489.jpg		여가/생활편의	해외여행	해외패키지/기타	서울출발 장가계 4박5일	50007257	모두투어	Y	이레투어클럽	대한민국	장가계|시그니처|월드체인호텔|노옵션|인기옵션포함	0	장가계^시그니처^월드체인호텔^노옵션^인기옵션포함	남녀공용
MAT260427018_PGE_IRE	[0507라이브M][장가계/원가계 4일,5일][대구출발]	999900			https://ire.modetour.co.kr/product-common/41076?type=group	https://m-ire.modetour.co.kr/product-common/41076?type=group	https://img.modetour.com/eagle/photoimg/10894/rfile/636695200858808704.jpg		여가/생활편의	해외여행	해외패키지/기타	대구출발 타임딜/장가계 3박4일	50007257	모두투어	Y	이레투어클럽	대한민국	장가계|중국|원가계|노옵션	0	장가계^중국^원가계^노옵션	남녀공용
MAT260308002_PGE_IRE	[대구출발][노팁/노쇼핑] 윈청/화산/서안/병마용 5일	999900			https://ire.modetour.co.kr/product-common/38092?type=group	https://m-ire.modetour.co.kr/product-common/38092?type=group	https://img.modetour.com/eagle/photoimg/81053/rfile/638676113075089530.jpg		여가/생활편의	해외여행	해외패키지/기타	대구출발 서안 4박5일	50007257	모두투어	Y	이레투어클럽	대한민국	서안|화청지|병마용|윈청|화산	0	서안^화청지^병마용^윈청^화산	남녀공용
